2020-01-01,134.40
2020-01-01,60.00
2020-01-03,1121.20
2020-01-04,1501.92
2020-01-05,227.00
2020-01-05,1420.16
2020-01-07,1286.48
2020-01-09,665.28
2020-01-10,367.00
2020-01-10,392.00
2020-01-12,527.00
2020-01-12,369.60
2020-01-14,1449.28
2020-01-16,1501.92
2020-01-17,139.00
2020-01-18,2783.20
2020-01-19,159.00
2020-01-20,178.08
2020-01-21,471.40
2020-01-22,313.60
2020-02-03,210.00
2020-02-08,240.00
2020-02-10,317.00
2020-02-11,159.00
2020-02-12,447.00
2020-02-20,497.00
2020-02-24,974.40
2020-02-26,67.20
2020-02-28,487.20
2020-03-01,1286.48
2020-03-03,1501.92
2020-03-04,2360.96
2020-03-05,240.00
2020-03-06,822.08
2020-03-06,3231.20
2020-03-07,139.00
2020-03-08,356.16
2020-03-08,1344.00
2020-03-12,227.00
2020-03-19,210.00
2020-03-22,185.00
2020-03-23,139.00
2020-03-24,447.00
2020-03-25,185.00
2020-03-26,527.00
2020-04-03,227.00
2020-04-08,185.00
2020-04-09,139.00
2020-04-10,227.00
2020-04-10,369.60
2020-04-11,317.00
2020-04-12,185.00
2020-04-12,1382.08
2020-04-12,590.24
2020-04-13,577.00
2020-04-14,297.00
2020-04-14,2898.56
2020-04-14,414.40
2020-04-15,185.00
2020-04-16,1770.72
2020-04-16,254.24
2020-05-07,497.00
2020-05-09,577.00
2020-05-10,240.00
2020-05-11,277.00
2020-05-12,175.00
2020-05-13,227.00
2020-05-15,297.00
2020-05-16,1180.48
2020-05-18,175.00
2020-05-18,411.04
2020-05-20,159.00
2020-05-20,67.20
2020-05-22,317.00
2020-05-25,497.00
2020-05-26,159.00
2020-05-27,617.00
2020-06-04,527.00
2020-06-06,277.00
2020-06-07,227.00
2020-06-09,647.00
2020-06-10,447.00
2020-06-11,277.00
2020-06-12,227.00
2020-06-20,1113.28
2020-06-22,414.40
2020-06-28,1432.46
